573607,CHARTER COMMUNICATION 6.484 23OCT45,161175BA1,100000,115159
573607,CHENIERE CORPUS CHRIS 5.125 30JUN27,16412XAG0,50000,50625
573607,CHENIERE ENERGY P 5.25 01OCT25 144A,16411QAA9,90000,90450
573607,CIGNA CORP 0.00,125509BV0,10000,9500
573607,CIGNA CORP 3.25 15APR25,125509BU2,35000,34181
573607,CIMAREX ENERGY CO 3.9 15MAY27,171798AD3,80000,80034
573607,CIMAREX ENERGY CO 4.375 01JUN24,171798AC5,66000,69453
573607,CITIBANK CR CARD ISSUA 1.92 07APR22,17305EGB5,615000,608957
573607,CITIGROUP INC 2.05 07DEC18,172967KE0,81000,80963
573607,CITIGROUP INC 2.4 18FEB20,172967JJ1,50000,49860
573607,CITIGROUP INC 2.65 26OCT20,172967KB6,60000,59912
573607,CITIGROUP INC 2.876 24JUL23,172967LM1,70000,69014
573607,CITIZENS FINL GROUP I 2.375 28JUL21,174610AN5,10000,9812
573607,CMS ENERGY CORP 3.0 15MAY26,125896BQ2,15000,14390
573607,COACH INC 4.125 15JUL27,189754AC8,10000,9901
573607,COLOMBIA REP 3.875 25APR27,195325DL6,75000,74400
573607,COLOMBIA REP 8.125 21MAY24,195325BD6,205000,255225
573607,COMCAST CORP NEW 3.15 15FEB28,20030NCA7,70000,67347
573607,COMCAST CORP NEW 3.4 15JUL46,20030NBU4,150000,133776
573607,COMCAST CORP NEW 4.6 15AUG45,20030NBQ3,22000,23508
573607,COMM 2013-300P M 4.353 10AUG30 144A,12625XAA5,290000,306183
573607,COMM 2013-GAM MT 3.367 10FEB28 144A,12624UAC8,255000,255042
573607,COMM 2015-CCRE2 4.54543 10AUG48 FRN,12593PAZ5,120000,124927
573607,CONCHO RES INC 3.75 01OCT27,20605PAH4,45000,44339
573607,CONCHO RES INC 4.875 01OCT47,20605PAJ0,50000,53369
573607,CORNING INC 4.375 15NOV57,219350BF1,75000,72674
573607,COX COMMUNICATION 3.15 15AUG24 144A,224044CH8,135000,132299
573607,CRANE CO 4.2 15MAR48,224399AT2,25000,24833
573607,CREDIT ACCEP AUTO 2.42 15NOV23 144A,22534MAA8,250000,250159
573607,CREDIT AGRICOLE 3.375 10JAN22 144A,22535WAA5,250000,251205
573607,CREDIT SUISS 3.869 12JAN29 144A FRN,225401AF5,250000,246605
573607,CROWN CASTLE INTL CORP 2.25 01SEP21,22822VAD3,30000,29253
573607,CROWN CASTLE INTL CORP 3.15 15JUL23,22822VAJ0,30000,29608
573607,CROWN CASTLE INTL CORP 3.4 15FEB21,22822VAA9,5000,5069
573607,CROWN CASTLE INTL CORP 3.7 15JUN26,22822VAC5,10000,9723
573607,CROWN CASTLE INTL CORP 3.8 15FEB28,22822VAK7,25000,24396
573607,CROWN CASTLE INTL CORP 4.0 01MAR27,22822VAE1,35000,34893
573607,CROWN CASTLE INTL CORP 4.75 15MAY47,22822VAF8,45000,45046
573607,CSAIL 2015-C1 C 4.29777 15APR50 FRN,126281BF0,80000,79610
573607,CSX CORP 2.6 01NOV26,126408HE6,100000,93045
573607,CSX CORP 3.25 01JUN27,126408HH9,50000,48784
573607,CSX CORP 3.8 01NOV46,126408HF3,25000,24033
573607,CVS HEALTH CORP 5.125 20JUL45,126650CN8,10000,10940
573607,DBUBS 2011-LC1 M 4.528 10NOV46 144A,233050AB9,235000,36658
573607,DEERE JOHN CAP CORP MED 2.8 06MAR23,24422ETG4,10000,9921
573607,DELPHI CORP DEL 4.15 15MAR24,247126AJ4,7000,7232
573607,DEUTSCHE BK AG GLOBAL 1.875 13FEB18,25152RYD9,27000,26999
573607,DEUTSCHE BK AG GLOBAL M 4.1 13JAN26,25152R2Y8,55000,54794
573607,DEUTSCHE TELEKOM 1.95 19SEP21 144A,25156PAU7,150000,145440
573607,DEVON ENERGY CORP NEW 5.85 15DEC25,25179MAV5,20000,22945
